xi,m,alpha,vMu,vAlpha,vM
53845.104123,0.0173938415912,3578.70012501,65087.7119873,5781.25407129,0.307658153196
2255.31860274,0.0961662953736,634.214214518,51014.5530332,1015.11958127,0.096219319909
344.714521598,0.0083740750807,402.819426989,56580.556148,561.219391829,0.00839752677389
160.964027369,0.0172546777544,229.522048254,41341.6873447,291.095480148,0.0172500364705
83.0417234555,0.0637365908589,143.846006657,15750.947622,173.694845793,0.0637255386414
8.43408188212,0.0174085321255,96.1592850869,17842.5819854,112.851448397,0.0174158351869
0.720330997952,0.00841231427632,66.6467240513,11333.7502191,76.0140516781,0.00841369944765
0.350804535672,0.00836667083718,49.2913052868,6497.68408822,55.4414293738,0.00836673589819
4.10170308605,0.0428145967313,38.7518842472,2522.08354812,43.4603367108,0.0428100438761
5.63994666259,0.023656542429,31.8348183469,1541.15314848,36.2591772801,0.0236594177699
2.88406164281,0.0012201818517,25.3708528653,1074.64677194,29.1856083581,0.00122302292952
1.48594225501,0.000180470957062,20.0072463574,777.933268664,22.7605241202,0.000180513263099
0.586599519243,3.50696278345e-05,16.0943996971,512.451083444,18.2381450683,3.50888363593e-05
0.311915823957,0.000232928618026,13.2342582159,355.824307747,14.7759453282,0.00023290187757
0.0392946364591,2.13191680555e-05,11.067246655,128.519869662,12.5255957255,2.13477170091e-05
0.0112197729759,3.3477051039e-05,9.52618453652,54.9649112729,10.2189663732,3.34753869796e-05
0.00567912124097,4.36034355201e-06,8.39218820818,31.471639788,8.86462678015,4.36428102035e-06
0.00425575301051,6.09634608979e-05,7.53847665712,23.8409906359,7.93621118739,6.09546076619e-05
0.008639854379,1.50463574482e-05,6.92966434173,39.569184278,7.34835517779,1.50231397104e-05
0.00499350472819,0.00132946072199,7.17536149547,7.12687999196,10.0046463571,0.00132927854375
0.00294777099043,0.00061024287096,7.49415156804,4.36260444566,12.5800080653,0.000609979678066
0.000527021475136,5.17923541393e-05,7.36333603784,1.2897332547,15.3202066664,5.18681434306e-05
0.000390661531128,0.000392802609088,6.57365279458,0.413487197482,6.83394958265,0.000392217282795
0.000340734724887,0.00133644051684,5.90741658024,15.7102919696,6.15171180479,0.00133580440432
0.00021382747218,0.00176426215907,5.35210159048,21.3446247876,5.87984983996,0.00176392070871
0.000187870580703,0.000696640100201,4.84964648075,0.201435033814,5.00913731568,0.000696606579613
0.000153509317897,0.000408100615915,4.41507856548,17.6786842458,4.55349443853,0.000408265765975
0.000116941984743,0.00118864878165,4.03650891036,0.295460678288,4.17073842138,0.00118830593832
0.000121592893265,0.00088399421799,3.70433856174,0.533347793389,3.8127579987,0.000884035560586
9.1329915449e-05,0.000435319187498,3.41149530187,0.712128221756,3.50507275015,0.000434812667446
5.63884386793e-05,0.00351231784045,3.15185157582,0.534549101489,3.23484842107,0.00351157283936
0.000111085246317,3.48014026874e-05,2.92101356015,2.36824475427,2.99743664637,3.43201398466e-05
4.6024681069e-05,0.00309636633443,2.71417431906,5.70101004199,2.78153759614,0.00309595100132
5.03632472828e-05,0.00078209242143,2.52863147855,0.270214110496,2.58820031956,0.000781491940801
