name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
ect,0.831492025064,time,0.542562579341,business,0.511039074094,information,0.497175234669,energy,0.590672334476,gas,0.335120126693,new,0.844670291585,know,0.471656405909,image,0.965473194522,need,0.238128531096
pm,0.213450517331,week,0.27672143869,trading,0.209487175953,email,0.199726956207,power,0.273930974582,market,0.334089719948,york,0.113614408951,just,0.277628312953,free,0.0726012131259,meeting,0.213117977788
deal,0.168595556028,houston,0.160953771538,company,0.185310338554,available,0.157540944302,company,0.27022131476,power,0.323661293195,houston,0.0734658134181,think,0.248252501424,click,0.066613999146,agreement,0.207752739426
john,0.137661083335,day,0.139185739693,management,0.178109115354,order,0.147015627233,service,0.199458298275,price,0.320410520255,market,0.0724088367318,like,0.231997389144,online,0.0609618119985,work,0.173556892461
sara,0.096083930313,pm,0.137417869282,group,0.161874190269,click,0.135610954729,news,0.189223535227,california,0.218135607463,changes,0.0587903490702,let,0.224511843964,day,0.0399354840412,time,0.172472973215
thanks,0.094011495579,great,0.128785819067,risk,0.149853207298,day,0.135020680244,million,0.160568512569,deal,0.171044427874,today,0.0578601378053,did,0.169388643567,fantasy,0.0347866080636,comments,0.16072649107
agreement,0.092550715626,good,0.120494003691,services,0.138581248177,access,0.129020764763,california,0.152003282712,trading,0.144042345897,rule,0.0565863268811,good,0.165615193338,special,0.0330735381246,issues,0.13400407757
j,0.0882680611523,make,0.115551606982,team,0.125982333823,received,0.123982182668,year,0.129026078573,prices,0.125505716772,power,0.0541516983344,going,0.145808219091,save,0.0282090889271,make,0.121748510601
mark,0.0840987184784,just,0.110299828808,markets,0.113200886535,use,0.117186968808,said,0.104115238771,capacity,0.11998030365,free,0.0528958890655,want,0.141793076647,football,0.0277326119213,project,0.121686299509
need,0.0734945901797,friday,0.0993118837842,energy,0.106212479678,message,0.11551556095,jones,0.099174893704,volume,0.119859461537,trading,0.0520650512839,need,0.130819578204,stocks,0.0261375412557,rate,0.121660190154
chris,0.0693570794234,click,0.0976748974561,businesses,0.104388745022,service,0.106014091454,state,0.0959272044104,daily,0.113867583708,service,0.0519824684408,email,0.126629190827,events,0.0259521710106,draft,0.119466317099
gas,0.0641115387531,going,0.0973877358821,operations,0.103334102455,november,0.10420638097,dow,0.0934135302955,contract,0.108758586322,business,0.0487570234838,day,0.120854760513,law,0.0247247098847,jeff,0.113740068674
contract,0.0597705340094,free,0.0896235454052,global,0.100329331643,contact,0.103467693471,houston,0.0791847409527,e,0.104356019229,said,0.0482922541699,great,0.113015227214,gift,0.0242853113631,pm,0.10364955448
vince,0.0565812936233,night,0.0869895626053,provide,0.0978875086059,free,0.101393307663,companies,0.0744154725314,day,0.100627258644,like,0.0481847988789,work,0.110896638461,like,0.0241170533039,contract,0.102411258545
richard,0.0552289166264,december,0.0850216659703,employees,0.0966644171321,provide,0.0969558550968,earnings,0.072451979193,contracts,0.0916948010584,offer,0.0472764099269,really,0.0972227751964,check,0.0238525983752,kay,0.101654809696
legal,0.0515958467433,does,0.0778049794568,week,0.0965694769889,date,0.0955214830447,street,0.0710276624739,change,0.0847953644106,exchange,0.047040692594,got,0.0959556459829,nfl,0.0236427477148,letter,0.101508094
kay,0.0512729299662,monday,0.0770554447484,process,0.0863342288708,questions,0.0919490566033,times,0.0699116914475,state,0.081595842401,markets,0.0459896436964,night,0.0880659203596,receive,0.0235934087551,section,0.100875461779
houston,0.050726510377,travel,0.0768137075357,financial,0.0837857073471,data,0.0892450839019,utilities,0.0670000027261,commission,0.0815804506843,just,0.0457579641636,pm,0.0852323394823,new,0.023521065334,conference,0.0953671779282
know,0.0486378737952,employees,0.0759115141787,market,0.081136725792,following,0.0882818102584,free,0.0658132446259,month,0.0801644189303,s,0.045059517877,send,0.0789016651701,card,0.0233954097256,like,0.0912612293629
deals,0.0455291279613,offers,0.0754222213542,america,0.0804459184543,process,0.0876662860301,wall,0.0652931406009,markets,0.0748203724358,december,0.043458743716,right,0.0782528281347,story,0.0227986134545,changes,0.0852148670046
sure,0.0452380491913,game,0.074328163307,office,0.0781817814672,number,0.0874122800756,texas,0.0640795416455,energy,0.074101191274,work,0.0432064786763,today,0.074987021823,dear,0.0223306453064,want,0.0850448932964
credit,0.0420400943913,november,0.0740447641802,unit,0.076162277792,online,0.0805619636683,new,0.063475274496,index,0.0674003764426,right,0.0412850448872,jeff,0.0712925950838,trial,0.0219327564815,form,0.0840306481419
term,0.0409020750757,thursday,0.0720257301213,report,0.0735977653006,days,0.0777880259026,india,0.0630246307017,cap,0.0673836865287,look,0.0411726632352,things,0.0684372923318,pts,0.0219324120786,schedule,0.0822485568706
kate,0.0401672896175,way,0.0679657145288,meeting,0.0732177811125,help,0.0770625295999,utility,0.0628905340902,trade,0.066591424719,receive,0.040688944091,come,0.0681378737956,offer,0.0217384865062,contracts,0.07787436609
price,0.0398974229068,work,0.0675455605106,work,0.0703654667468,receive,0.0765628668034,billion,0.0622663764354,delivery,0.0648599867764,use,0.0405749137607,way,0.0669694709971,league,0.0212179057844,john,0.0756269188289
america,0.0395006375761,office,0.0661961307133,position,0.0669715921752,intended,0.0750421606082,journal,0.0610775549296,does,0.0640297395945,form,0.0405095428951,say,0.0654420422488,today,0.0211795587978,following,0.0753771570553
north,0.0388795501062,hope,0.0641113705377,opportunities,0.0649108125063,need,0.0731026789261,says,0.0573652732393,iso,0.0639671977615,president,0.0404888789925,people,0.0645890800463,week,0.0211664174231,week,0.0750100155561
draft,0.0384018181497,specials,0.0632306179631,s,0.0632853510214,internet,0.0693209334767,summer,0.0567407379846,demand,0.0635346470052,program,0.0399809479164,sure,0.0640009686299,year,0.0205619094691,date,0.073984555065
london,0.0377368769103,sure,0.0631148935834,development,0.0622577972945,address,0.0677969110701,business,0.0562180726722,term,0.0625929549072,live,0.0395660508419,little,0.0629332332407,sale,0.0200976059231,questions,0.0730650550164
let,0.0374149401149,pts,0.0619133777875,north,0.0622168010223,employees,0.067691067299,oil,0.0558829328759,said,0.0622582814114,stock,0.0389693675586,love,0.0619613540556,games,0.0195771447353,report,0.0712380027538
help,0.0359571831416,wednesday,0.0613682305533,currently,0.0619783055096,program,0.0661934219395,electricity,0.0555614843114,short,0.0604573047932,times,0.0381160535757,message,0.0596196036709,store,0.0192952274252,review,0.0707157873393
sally,0.0351286857318,texas,0.0603947948944,wholesale,0.0619648340454,web,0.0646250976868,report,0.055117144933,electricity,0.0598579933282,offers,0.0375247257349,years,0.0592442706146,site,0.0192509081096,attached,0.0692527732495
think,0.0350904865335,visit,0.0596318069978,gas,0.0609023837008,offers,0.0643585138154,financial,0.0540956235216,points,0.0593983099089,travel,0.0364663601402,year,0.0585834836084,web,0.0187677271332,language,0.0678741791861
attached,0.034755962059,meeting,0.0585309046551,feedback,0.0595391506177,send,0.0623005366145,public,0.0535232539876,data,0.0590968407174,send,0.036102530391,best,0.0537320094401,game,0.0187352925526,provide,0.0668019947758
brent,0.0344226842151,fares,0.0584484418671,units,0.0589557746518,link,0.0613270503014,stock,0.052648870444,deals,0.0588543101898,board,0.0360989471294,help,0.052641702451,november,0.0183737515953,deal,0.0663601922682
mike,0.0343258547193,check,0.0572638028728,performance,0.058078177393,request,0.0610247665736,today,0.0525380176249,supply,0.0579207519831,chairman,0.035969390749,said,0.0517824062278,money,0.0182785257968,know,0.0663439060995
information,0.033270444406,ca,0.0567795907348,europe,0.0571739055609,s,0.0590014889033,credit,0.0523318387117,storage,0.0578271109777,street,0.0357624156488,told,0.0516653390564,just,0.0181269471942,information,0.065367574093
ces,0.0329729821168,little,0.0553622081587,issues,0.0570587800138,business,0.0588884874983,electric,0.0508781131022,volumes,0.0572537245295,need,0.0353086769523,school,0.0512345972525,tip,0.0176458647413,thanks,0.0636708542775
just,0.0327327896981,available,0.0547523458843,president,0.0568548985951,market,0.0583707110835,senate,0.0493445796366,o,0.0565369705914,open,0.0352055490796,doing,0.0510043943983,home,0.0174091960225,plan,0.0625786252986
communications,0.0325911984677,tuesday,0.0545636383289,focus,0.0566729614538,copy,0.0553616446936,june,0.0484085991462,natural,0.0563967041171,way,0.0348337047564,hope,0.050357283258,email,0.0171744038586,needs,0.0613111023026
susan,0.0322951419856,start,0.0536974826516,transactions,0.0564417718587,outlook,0.055256743291,services,0.0467510646256,electric,0.054135777443,ability,0.0345329508182,bring,0.0500432346507,visit,0.0169174493457,does,0.0606598245665
carol,0.0320660035235,days,0.0536947906785,vince,0.056376992213,current,0.0550834560858,bloomberg,0.0456029406955,pg,0.052264834636,company,0.0344210668936,does,0.0485586952246,newsletter,0.0168023339955,number,0.0603146949486
copy,0.0319108702874,people,0.0533670340404,continue,0.0559992635273,houston,0.0546326595314,committee,0.0453592127996,current,0.0518439823296,price,0.034211316745,probably,0.0483883890018,friday,0.0166459360083,final,0.0602622794537
fax,0.0302341819775,center,0.0511023352154,ceo,0.0552381782208,list,0.054573621553,house,0.0443027113296,utilities,0.0512505549535,following,0.0340466285178,lot,0.0480838151801,products,0.0166031177897,rates,0.0594872177636
want,0.0301949594155,dinner,0.0507354252632,houston,0.0547693650769,special,0.0537258609105,reuters,0.0434996674945,order,0.0510956338948,old,0.034042104624,start,0.0466994466364,usa,0.0163750569624,credit,0.0581911761237
yes,0.0301761428398,place,0.0505497753989,million,0.0546579389911,site,0.052641411248,washington,0.0422743216155,generation,0.0501845100133,site,0.0337886957507,mike,0.0461027988826,use,0.0163039680285,issue,0.0576172814307
james,0.0301108502715,nfl,0.0503644499343,jeff,0.0536746344624,recipient,0.0525853966038,industry,0.0413235953791,date,0.0498602699646,world,0.0334265831978,blue,0.045705919409,sports,0.0161297642604,process,0.0569359778812
currently,0.0291990870449,year,0.0498991843546,include,0.0527243878478,price,0.0525134430163,increase,0.0402508108455,rates,0.0496053930099,version,0.0334117264452,plan,0.0453093713726,software,0.015946064798,discuss,0.0564890555214
robert,0.0290413218225,come,0.0498034085159,assets,0.0520812809468,customer,0.0524315938157,quarter,0.0401703174584,rate,0.0493107965609,drive,0.033220049315,sorry,0.0446476142374,select,0.0151890396913,state,0.0559663003141
lunch,0.0286148777745,did,0.0496392400485,working,0.0516762350338,confidential,0.0519563225162,demand,0.040022435366,exchange,0.0481331104422,internet,0.032607336978,deal,0.0442732007257,player,0.0151669776918,did,0.0552534450137
going,0.0283763751967,online,0.0494855622745,support,0.0511672673234,center,0.0518360916204,bureau,0.0398929307767,firm,0.0471458023052,time,0.0318938376208,group,0.0441489414208,technology,0.0151279493307,working,0.0545416505289
dave,0.0283584947373,summer,0.0490661519675,questions,0.0506424876006,offer,0.0516930266543,president,0.0398508609384,ces,0.0448223338766,order,0.0317031603294,leave,0.0428020174909,need,0.0149677837023,change,0.0544023466649
