0	46829
1	77438
2	67669
3	64758
4	47154
5	36140
6	28002
7	21511
8	17961
9	14034
10	11407
11	9301
12	7480
13	6622
14	5544
15	4913
16	3988
17	3603
18	3189
19	2702
20	2457
21	2247
22	1930
23	1548
24	1723
25	1540
26	1313
27	1153
28	1235
29	1113
30	895
31	1170
32	707
33	1024
34	663
35	620
36	629
37	645
38	457
39	458
40	574
41	449
42	449
43	367
44	447
45	307
46	346
47	378
48	277
49	295
50	253
51	233
52	412
53	263
54	199
55	289
56	220
57	180
58	143
59	161
60	148
61	165
62	155
63	135
64	129
65	126
66	120
67	90
68	83
69	189
70	111
71	95
72	89
73	87
74	107
75	207
76	132
77	86
78	87
79	90
80	88
81	66
82	94
83	61
84	77
85	93
86	103
87	103
88	87
89	104
90	105
91	117
92	62
93	66
94	51
95	71
96	80
97	50
98	82
99	49
100	60
101	34
102	33
103	39
104	27
105	41
106	45
107	31
108	35
109	48
110	39
111	38
112	42
113	56
114	24
115	25
116	44
117	31
118	48
119	31
120	39
121	13
122	41
123	14
124	32
125	37
126	36
127	40
128	22
129	56
130	20
131	45
132	25
133	13
134	12
135	26
136	15
137	17
138	18
139	8
140	33
141	23
142	22
143	32
144	10
145	8
146	17
147	38
148	10
149	30
150	14
151	19
152	15
153	23
154	7
155	4
156	21
157	19
158	14
159	11
160	27
161	28
162	9
163	24
164	16
165	21
166	16
167	11
168	14
169	9
170	22
171	10
172	4
173	18
174	6
175	22
176	7
177	6
178	10
179	4
180	6
181	6
182	10
183	22
184	6
185	15
186	9
187	7
188	5
189	14
190	8
191	6
192	5
193	18
194	9
195	18
196	5
197	6
198	12
199	5
200	6
201	12
202	16
203	1
204	5
205	1
206	10
207	8
208	2
210	13
211	6
212	4
213	4
214	3
216	4
217	8
218	6
219	3
220	7
221	4
222	9
1061	2
224	8
225	19
379	2
228	3
229	3
230	5
231	3
232	4
233	8
234	8
235	15
236	20
237	4
238	7
239	9
240	4
1267	2
244	13
245	6
349	7
1271	2
248	3
249	4
250	11
251	2
252	3
253	7
254	2
1237	2
259	8
260	2
262	4
263	1
264	15
265	5
267	2
268	6
269	4
270	2
272	5
273	3
274	11
275	9
277	4
278	2
280	2
281	16
282	6
283	11
284	2
286	2
287	1
288	16
289	4
290	6
291	2
292	12
293	2
294	5
295	4
296	6
297	2
298	3
300	2
301	2
303	2
304	2
306	5
307	2
309	2
311	2
314	2
315	2
316	1
317	5
318	3
319	5
321	7
322	1
324	2
328	4
329	6
330	11
331	1
332	2
333	2
334	4
335	3
336	1
337	3
227	8
340	2
341	5
342	7
343	6
344	1
345	2
346	7
347	2
348	2
1373	2
351	12
352	2
1066	2
354	13
355	1
357	2
358	2
359	2
360	1
362	8
364	2
365	1
366	7
368	2
369	2
370	7
371	3
372	2
374	3
375	1
376	6
377	1
378	5
1087	2
384	4
385	2
386	2
391	1
393	7
396	2
397	8
398	4
399	4
400	1
401	8
402	2
403	13
406	4
407	2
408	3
409	1
410	3
411	5
1093	1
416	7
419	2
1454	1
432	2
433	1
434	2
435	18
436	2
437	1
438	2
444	3
447	1
448	7
449	4
450	1
246	3
455	1
456	2
247	3
460	3
461	2
462	2
464	6
466	1
467	5
472	2
475	3
480	1
483	1
489	1
496	1
500	1
502	1
503	3
510	2
515	2
516	2
517	1
520	1
524	1
529	2
532	1
533	11
536	1
537	1
544	11
551	1
552	2
554	2
557	1
223	1
559	12
560	1
562	7
1212	1
564	2
1118	1
1197	1
568	2
571	2
572	1
574	3
1042	1
2827	1
580	2
583	1
585	2
593	2
595	1
596	2
601	11
602	1
604	10
2066	1
611	1
617	2
628	1
630	1
634	2
635	1
638	2
639	1
642	2
648	2
654	2
655	8
656	2
658	2
661	2
1305	2
664	2
671	2
672	2
678	14
680	8
681	1
1371	1
685	2
688	1
1139	1
698	7
708	1
710	15
715	1
720	2
1746	1
1747	1
729	10
732	2
1146	3
1246	1
755	2
757	1
1048	1
760	2
764	2
1152	2
771	1
772	1
775	1
776	1
779	7
1815	1
793	1
796	2
801	1
805	2
812	3
814	2
1035	1
834	1
839	7
846	1
865	1
869	2
2143	1
2928	2
893	2
1345	2
904	2
920	2
925	14
927	1
949	2
951	1
1985	1
1526	2
979	1
1124	1
1192	1
339	1
1014	1
1364	1
